timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595690636568,6,Create Order,201,Created,200 Users 3-12,,true,,214,789,12,39,http://localhost:8080/orders,6,0,0
1595690636582,5,Create Account,201,Created,200 Users 2-4,,true,,216,406,13,40,http://localhost:8080/accounts,5,0,0
1595690636583,7,Get shopping cart,200,OK,200 Users 1-15,text,true,,518,167,15,40,http://localhost:8080/shopping-carts/1,7,0,0
1595690636591,5,Create Account,201,Created,200 Users 2-14,,true,,216,406,14,42,http://localhost:8080/accounts,5,0,0
1595690636593,6,Create Order,201,Created,200 Users 3-13,,true,,214,789,13,42,http://localhost:8080/orders,6,0,0
1595690636609,4,Create Order,201,Created,200 Users 3-4,,true,,214,789,13,43,http://localhost:8080/orders,4,0,0
1595690636607,8,Get shopping cart,200,OK,200 Users 1-16,text,true,,518,167,16,43,http://localhost:8080/shopping-carts/1,8,0,0
1595690636616,5,Create Account,201,Created,200 Users 2-15,,true,,216,406,15,45,http://localhost:8080/accounts,5,0,1
1595690636619,6,Create Order,201,Created,200 Users 3-14,,true,,214,789,14,45,http://localhost:8080/orders,6,0,0
1595690636632,7,Get shopping cart,200,OK,200 Users 1-17,text,true,,518,167,17,46,http://localhost:8080/shopping-carts/1,7,0,0
1595690636632,7,Get shopping cart,200,OK,200 Users 1-5,text,true,,518,167,17,46,http://localhost:8080/shopping-carts/1,7,0,0
1595690636641,5,Create Account,201,Created,200 Users 2-16,,true,,216,406,16,48,http://localhost:8080/accounts,5,0,1
1595690636644,5,Create Order,201,Created,200 Users 3-15,,true,,214,789,15,48,http://localhost:8080/orders,5,0,0
1595690636657,8,Get shopping cart,200,OK,200 Users 1-18,text,true,,523,167,18,49,http://localhost:8080/shopping-carts/1,8,0,0
1595690636665,4,Create Account,201,Created,200 Users 2-17,,true,,216,406,17,51,http://localhost:8080/accounts,4,0,1
1595690636666,4,Create Account,201,Created,200 Users 2-5,,true,,216,406,17,51,http://localhost:8080/accounts,4,0,0
1595690636669,6,Create Order,201,Created,200 Users 3-16,,true,,214,789,16,51,http://localhost:8080/orders,6,0,0
1595690636682,8,Get shopping cart,200,OK,200 Users 1-19,text,true,,523,167,19,52,http://localhost:8080/shopping-carts/1,8,0,0
1595690636691,4,Create Account,201,Created,200 Users 2-18,,true,,216,406,18,54,http://localhost:8080/accounts,4,0,0
1595690636693,6,Create Order,201,Created,200 Users 3-17,,true,,214,789,17,54,http://localhost:8080/orders,6,0,0
1595690636694,5,Create Order,201,Created,200 Users 3-5,,true,,214,789,17,54,http://localhost:8080/orders,5,0,0
1595690636708,8,Get shopping cart,200,OK,200 Users 1-20,text,true,,518,167,20,56,http://localhost:8080/shopping-carts/1,8,0,0
1595690636716,5,Create Account,201,Created,200 Users 2-19,,true,,216,406,19,57,http://localhost:8080/accounts,5,0,0
1595690636718,6,Create Order,201,Created,200 Users 3-18,,true,,214,789,18,57,http://localhost:8080/orders,6,0,0
1595690636717,9,Get shopping cart,200,OK,200 Users 1-6,text,true,,518,167,20,57,http://localhost:8080/shopping-carts/1,9,0,0
1595690636732,8,Get shopping cart,200,OK,200 Users 1-21,text,true,,518,167,21,58,http://localhost:8080/shopping-carts/1,8,0,1
1595690636741,4,Create Account,201,Created,200 Users 2-20,,true,,216,406,20,60,http://localhost:8080/accounts,4,0,0
1595690636743,6,Create Order,201,Created,200 Users 3-19,,true,,214,789,19,60,http://localhost:8080/orders,6,0,0
1595690636751,4,Create Account,201,Created,200 Users 2-6,,true,,216,406,20,60,http://localhost:8080/accounts,4,0,0
1595690636757,7,Get shopping cart,200,OK,200 Users 1-22,text,true,,518,167,22,61,http://localhost:8080/shopping-carts/1,7,0,0
1595690636766,5,Create Account,201,Created,200 Users 2-21,,true,,216,406,21,63,http://localhost:8080/accounts,5,0,0
1595690636769,5,Create Order,201,Created,200 Users 3-20,,true,,214,789,20,63,http://localhost:8080/orders,5,0,0
1595690636771,4,Create Account,201,Created,200 Users 2-2,,true,,216,406,21,63,http://localhost:8080/accounts,4,0,0
1595690636778,6,Create Order,201,Created,200 Users 3-6,,true,,214,789,20,64,http://localhost:8080/orders,6,0,0
1595690636782,8,Get shopping cart,200,OK,200 Users 1-23,text,true,,518,167,23,64,http://localhost:8080/shopping-carts/1,8,0,0
1595690636791,6,Create Account,201,Created,200 Users 2-22,,true,,216,406,22,66,http://localhost:8080/accounts,6,0,0
1595690636793,6,Create Order,201,Created,200 Users 3-21,,true,,214,789,21,66,http://localhost:8080/orders,6,0,0
1595690636797,8,Get shopping cart,200,OK,200 Users 1-2,text,true,,518,167,23,66,http://localhost:8080/shopping-carts/1,8,0,0
1595690636801,11,Get shopping cart,200,OK,200 Users 1-7,text,true,,518,167,24,67,http://localhost:8080/shopping-carts/1,11,0,0
1595690636807,9,Get shopping cart,200,OK,200 Users 1-24,text,true,,518,167,24,68,http://localhost:8080/shopping-carts/1,9,0,0
1595690636816,5,Create Account,201,Created,200 Users 2-23,,true,,216,406,23,69,http://localhost:8080/accounts,5,0,0
1595690636818,5,Create Order,201,Created,200 Users 3-22,,true,,214,789,22,69,http://localhost:8080/orders,5,0,0
1595690636835,4,Create Account,201,Created,200 Users 2-7,,true,,216,406,23,70,http://localhost:8080/accounts,4,0,0
1595690636833,7,Get shopping cart,200,OK,200 Users 1-25,text,true,,518,167,25,70,http://localhost:8080/shopping-carts/1,7,0,0
1595690636841,4,Create Account,201,Created,200 Users 2-24,,true,,216,406,24,72,http://localhost:8080/accounts,4,0,0
1595690636843,4,Create Order,201,Created,200 Users 3-23,,true,,214,789,23,72,http://localhost:8080/orders,4,0,0
1595690636857,6,Create Order,201,Created,200 Users 3-2,,true,,214,789,23,73,http://localhost:8080/orders,6,0,0
1595690636858,10,Get shopping cart,200,OK,200 Users 1-26,text,true,,523,167,26,73,http://localhost:8080/shopping-carts/1,9,0,1
1595690636869,4,Create Account,201,Created,200 Users 2-25,,true,,216,406,25,75,http://localhost:8080/accounts,4,0,0
1595690636862,14,Create Order,201,Created,200 Users 3-7,,true,,214,789,24,75,http://localhost:8080/orders,14,0,0
1595690636870,7,Create Order,201,Created,200 Users 3-24,,true,,214,789,24,75,http://localhost:8080/orders,7,0,0
1595690636883,10,Get shopping cart,200,OK,200 Users 1-27,text,true,,518,167,27,78,http://localhost:8080/shopping-carts/1,10,0,0
1595690636891,5,Create Account,201,Created,200 Users 2-26,,true,,216,406,26,78,http://localhost:8080/accounts,5,0,1
1595690636888,9,Get shopping cart,200,OK,200 Users 1-8,text,true,,518,167,27,78,http://localhost:8080/shopping-carts/1,9,0,0
1595690636893,6,Create Order,201,Created,200 Users 3-25,,true,,214,789,25,78,http://localhost:8080/orders,6,0,0
1595690636907,7,Get shopping cart,200,OK,200 Users 1-28,text,true,,518,167,28,79,http://localhost:8080/shopping-carts/1,7,0,0
1595690636916,5,Create Account,201,Created,200 Users 2-27,,true,,216,406,27,81,http://localhost:8080/accounts,5,0,1
1595690636918,6,Create Order,201,Created,200 Users 3-26,,true,,214,789,26,81,http://localhost:8080/orders,6,0,0
1595690636921,4,Create Account,201,Created,200 Users 2-8,,true,,216,406,27,81,http://localhost:8080/accounts,4,0,0
1595690636932,8,Get shopping cart,200,OK,200 Users 1-29,text,true,,518,167,29,82,http://localhost:8080/shopping-carts/1,8,0,0
1595690636942,4,Create Account,201,Created,200 Users 2-28,,true,,216,406,28,84,http://localhost:8080/accounts,4,0,0
1595690636943,5,Create Order,201,Created,200 Users 3-27,,true,,214,789,27,84,http://localhost:8080/orders,5,0,0
1595690636948,6,Create Order,201,Created,200 Users 3-8,,true,,214,789,27,84,http://localhost:8080/orders,6,0,0
1595690636958,9,Get shopping cart,200,OK,200 Users 1-30,text,true,,518,167,30,86,http://localhost:8080/shopping-carts/1,9,0,0
1595690636966,5,Create Account,201,Created,200 Users 2-29,,true,,216,406,29,87,http://localhost:8080/accounts,5,0,0
