timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595690100005,5,Create Account,201,Created,200 Users 2-4,,true,,216,406,13,40,http://localhost:8080/accounts,5,0,0
1595690100007,12,Get shopping cart,200,OK,200 Users 1-15,text,true,,518,167,15,42,http://localhost:8080/shopping-carts/1,12,0,1
1595690100016,5,Create Account,201,Created,200 Users 2-14,,true,,216,406,14,42,http://localhost:8080/accounts,5,0,0
1595690100015,16,Create Order,201,Created,200 Users 3-13,,true,,214,789,13,42,http://localhost:8080/orders,16,0,0
1595690100014,18,Create Order,201,Created,200 Users 3-1,,true,,214,789,13,42,http://localhost:8080/orders,18,0,0
1595690100033,11,Get shopping cart,200,OK,200 Users 1-16,text,true,,518,167,16,45,http://localhost:8080/shopping-carts/1,11,0,0
1595690100041,6,Create Account,201,Created,200 Users 2-15,,true,,216,406,15,45,http://localhost:8080/accounts,6,0,1
1595690100031,17,Create Order,201,Created,200 Users 3-4,,true,,214,789,14,45,http://localhost:8080/orders,17,0,0
1595690100040,23,Create Order,201,Created,200 Users 3-14,,true,,214,789,14,46,http://localhost:8080/orders,23,0,0
1595690100057,13,Get shopping cart,200,OK,200 Users 1-17,text,true,,523,167,17,48,http://localhost:8080/shopping-carts/1,13,0,0
1595690100058,12,Get shopping cart,200,OK,200 Users 1-5,text,true,,518,167,17,48,http://localhost:8080/shopping-carts/1,12,0,0
1595690100066,6,Create Account,201,Created,200 Users 2-16,,true,,216,406,16,48,http://localhost:8080/accounts,6,0,0
1595690100065,17,Create Order,201,Created,200 Users 3-15,,true,,214,789,15,49,http://localhost:8080/orders,17,0,0
1595690100082,11,Get shopping cart,200,OK,200 Users 1-18,text,true,,518,167,18,51,http://localhost:8080/shopping-carts/1,11,0,0
1595690100091,5,Create Account,201,Created,200 Users 2-5,,true,,216,406,17,51,http://localhost:8080/accounts,5,0,0
1595690100091,5,Create Account,201,Created,200 Users 2-17,,true,,216,406,17,51,http://localhost:8080/accounts,5,0,1
1595690100090,21,Create Order,201,Created,200 Users 3-16,,true,,214,789,16,52,http://localhost:8080/orders,21,0,0
1595690100107,12,Get shopping cart,200,OK,200 Users 1-19,text,true,,518,167,19,54,http://localhost:8080/shopping-carts/1,12,0,0
1595690100116,5,Create Account,201,Created,200 Users 2-18,,true,,216,406,18,54,http://localhost:8080/accounts,5,0,0
1595690100115,18,Create Order,201,Created,200 Users 3-17,,true,,214,789,17,55,http://localhost:8080/orders,18,0,0
1595690100116,18,Create Order,201,Created,200 Users 3-5,,true,,214,789,17,55,http://localhost:8080/orders,18,0,0
1595690100133,12,Get shopping cart,200,OK,200 Users 1-20,text,true,,518,167,20,57,http://localhost:8080/shopping-carts/1,12,0,0
1595690100141,5,Create Account,201,Created,200 Users 2-19,,true,,216,406,19,57,http://localhost:8080/accounts,5,0,1
1595690100142,11,Get shopping cart,200,OK,200 Users 1-6,text,true,,518,167,20,57,http://localhost:8080/shopping-carts/1,11,0,0
1595690100140,19,Create Order,201,Created,200 Users 3-18,,true,,214,789,18,58,http://localhost:8080/orders,19,0,1
1595690100158,11,Get shopping cart,200,OK,200 Users 1-21,text,true,,518,167,21,60,http://localhost:8080/shopping-carts/1,11,0,0
1595690100166,5,Create Account,201,Created,200 Users 2-20,,true,,216,406,20,60,http://localhost:8080/accounts,5,0,0
1595690100177,5,Create Account,201,Created,200 Users 2-6,,true,,216,406,20,61,http://localhost:8080/accounts,5,0,0
1595690100165,20,Create Order,201,Created,200 Users 3-19,,true,,214,789,19,61,http://localhost:8080/orders,20,0,1
1595690100182,11,Get shopping cart,200,OK,200 Users 1-22,text,true,,523,167,22,63,http://localhost:8080/shopping-carts/1,11,0,1
1595690100191,4,Create Account,201,Created,200 Users 2-21,,true,,216,406,21,63,http://localhost:8080/accounts,4,0,0
1595690100196,3,Create Account,201,Created,200 Users 2-2,,true,,216,406,21,63,http://localhost:8080/accounts,3,0,0
1595690100190,16,Create Order,201,Created,200 Users 3-20,,true,,214,789,20,63,http://localhost:8080/orders,16,0,1
1595690100200,17,Create Order,201,Created,200 Users 3-6,,true,,214,789,21,66,http://localhost:8080/orders,17,0,0
1595690100208,11,Get shopping cart,200,OK,200 Users 1-23,text,true,,518,167,23,66,http://localhost:8080/shopping-carts/1,11,0,0
1595690100216,5,Create Account,201,Created,200 Users 2-22,,true,,216,406,22,66,http://localhost:8080/accounts,5,0,0
1595690100221,13,Get shopping cart,200,OK,200 Users 1-2,text,true,,518,167,24,67,http://localhost:8080/shopping-carts/1,13,0,0
1595690100216,18,Create Order,201,Created,200 Users 3-21,,true,,214,789,21,67,http://localhost:8080/orders,18,0,0
1595690100228,13,Get shopping cart,200,OK,200 Users 1-7,text,true,,523,167,24,69,http://localhost:8080/shopping-carts/1,13,0,0
1595690100232,14,Get shopping cart,200,OK,200 Users 1-24,text,true,,518,167,24,69,http://localhost:8080/shopping-carts/1,14,0,0
1595690100241,5,Create Account,201,Created,200 Users 2-23,,true,,216,406,23,69,http://localhost:8080/accounts,5,0,0
1595690100240,18,Create Order,201,Created,200 Users 3-22,,true,,214,789,22,70,http://localhost:8080/orders,18,0,1
1595690100262,5,Create Account,201,Created,200 Users 2-7,,true,,216,406,24,72,http://localhost:8080/accounts,5,0,0
1595690100258,12,Get shopping cart,200,OK,200 Users 1-25,text,true,,518,167,25,72,http://localhost:8080/shopping-carts/1,12,0,0
